nombre_alu,apellido,edad,direccion,num_cuenta
Abacu,Chuc,22,Aguascalientes_Aguascalientes_Fraccionamiento_Los Bosques_20120,0
Cecilia del socorro,Mojarro,21,Colima_Colima_Fraccionamiento_Las Haciendas_28063,1
Ignacio rafael,Cabriales,20,Chiapas_Villaflores_Ejido_Villa Hidalgo_30473,2
Gloria concepcion,Leonor,19,Puebla_Ahuazotepec_Hacienda_Buenavista_73195,3
Juan jose luis,Velducea,21,Sonora_Alamos_Colonia_Hacienda Vieja_85764,4
Selene patricia,Rio,24,Tabasco_Centla_Colonia_Frontera Centro_86750,5
Waldemar,Velasquez,19,Nayarit_Jala_Pueblo_Francisco I. Madero (La Bolsa)_63886,6
Ma eustolia,Eugenia,27,Jalisco_San Pedro Tlaquepaque_Colonia_San Juan_45638,7
Jose saul,Paulin,20,Hidalgo_Huejutla de Reyes_Colonia_Bugambilias_43000,8
Martina del carmen,Bielma,22,Sinaloa_Escuinapa_Ejido_Cristo Rey_82563,9
Cesar ivan,Esperanza,24,Distrito Federal_Gustavo A. Madero_Colonia_Malacates_7119,10
Ma.de jesus,Higueldo,20,Jalisco_San Juanito de Escobedo_Ejido_La Providencia_46566,11
Pablo martin,Coahuila,26,Morelos_Jojutla_Colonia_Del Bosque_62900,12
Gloria gabriela,Cazarez,22,Oaxaca_Santiago Jocotepec_Equipamiento_San Pedro Tepinapa (Comunal)_68923,13
Angel omar,Abud,21,Zacatecas_Juan Aldama_Colonia_Nuevo Amanecer_98303,14
Blanca m,Aldaco,26,Chiapas_Siltepec_Ejido_Palmar Grande_30983,15
Jose silverio,Peruyero,23,Veracruz de Ignacio de la Llave_Cosamaloapan de Carpio_Colonia_El Cocal_95397,16
Aurora del rocio,Cantoran,26,Sinaloa_Guasave_Colonia_Hidalgo_81124,17
Jose amando,Quinonez,26,Veracruz de Ignacio de la Llave_Uxpanapa_Pueblo_Hermanos Cedillo (Poblado Dos A)_96997,18
Alma gabriela,Veneroso,20,Sonora_Navojoa_Hacienda_Santa Rosa_85235,19
Jaime fernando,Bolio,23,Guanajuato_Victoria_Granja_Palo Seco_37924,20
Bertha monica,Portal,22,Tamaulipas_Matamoros_Colonia_Guadalupe Mainero_87345,21
Carlos romeo,Nakamura,19,Puebla_Tecamachalco_Barrio_Jalancingo_75490,22
Ana marcela,Guimbarda,20,Veracruz de Ignacio de la Llave_Xalapa_Colonia_14 de Febrero_91025,23
Joaquin rafael,Haza,22,Campeche_Calakmul_Ejido_20 de Noviembre_24645,24
Antonia de jesus,Gasga,18,Chiapas_Altamirano_Ejido_Pamala_30194,25
Adriana,Y moo,24,Baja California_Playas de Rosarito_Colonia_Primo Tapia_22714,26
Mayra nayeli,Zavalija,27,Guanajuato_San Miguel de Allende_Colonia_Santa Cecilia_37727,27
Emmanuel alejandro,Von,19,Quintana Roo_Solidaridad_Colonia_Ejidal_77712,28
Elvia mireya,Y zapata,24,Nayarit_Tepic_Colonia_Rey Nayar_63129,29
Jose freddy,Agaton,19,Sonora_Alamos_Colonia_El Calvario_85765,30
Alondra maria,Peza,26,Jalisco_Cocula_Ejido_San Pablo_48512,31
Jorge a,Echevarria,27,Puebla_Puebla_Fraccionamiento_Pontevedra_72197,32
Francisca fabiola,Ursulo,24,Veracruz de Ignacio de la Llave_Cosoleacaque_Colonia_La Esperanza_96345,33
Francisco ivan,Mulhia,24,Baja California Sur_Los Cabos_Fraccionamiento_Buena Vista_23595,34
Marisol,Gojon,21,Baja California Sur_Los Cabos_Fraccionamiento_Jacarandas_23473,35
Rogerio,Monay,26,Guanajuato_Valle de Santiago_Colonia_El Chorrito_38405,36
Monica marisol,Samario,24,Puebla_San Pedro Cholula_Fraccionamiento_San Diego los Sauces_72768,37
Erick antonio,Tonix,18,Oaxaca_San Pedro Pochutla_Pueblo_Barra de Cuatunalco_70902,38
Guadalupe maricela,Archuleta,23,Chihuahua_Chihuahua_Colonia_Universitaria Bella Vista_31416,39
Ruben alberto,Blanqueto,27,Baja California Sur_La Paz_Colonia_Electricista_23068,40
Graciela de jesus,Balverde,21,Puebla_Zacapoaxtla_Barrio_Xochitepec_73687,41
Cristian omar,Filomeno,19,Hidalgo_Tulancingo de Bravo_Fraccionamiento_Tollancingo_43648,42
Gloria concepcion,Porres,19,Veracruz de Ignacio de la Llave_Chiconamel_Poblado comunal_El Aguacate_92164,43
Leonel,Mozon,19,Tamaulipas_Reynosa_Fraccionamiento_Framboyanes_88710,44
Sofia isabel,Valderas,24,Jalisco_Zapopan_Fraccionamiento_Los Olivos_45207,45
Bismarck,Bernaldez,21,Chihuahua_Hidalgo del Parral_Fraccionamiento_Real de Minas_33827,46
Eleonor,Refugio,23,Puebla_Cuautlancingo_Conjunto habitacional_Villas Chautenco_72735,47
Victor eloy,Sangabriel,21,Morelos_Puente de Ixtla_Colonia_Apozonalco_62685,48
Ma de lourdes,Merino,19,Jalisco_La Barca_Fraccionamiento_Jardines San Ignacio_47913,49
Rutilo,Sangerman,19,Zacatecas_Jerez_Colonia_Mercaderes_99389,50
Patricia laura,Minguer,23,Aguascalientes_Asientos_Ejido_Jilotepec_20709,51
